bikepoint_id,terminal_name,station_name,lat,lon,capacity,installed,locked,temporary,terminal_num
58,001032,"New Inn Yard, Shoreditch",51.524526,-0.079248,20,true,false,false,1032
60,001030,"Lisson Grove, St. John's Wood",51.526448,-0.17219,18,true,false,false,1030
61,001017,"Great Dover Street, The Borough",51.497382,-0.089446,33,true,false,false,1017
62,000990,"Cotton Garden Estate, Kennington",51.490757,-0.106323,24,true,false,false,990
63,000989,"Murray Grove , Hoxton",51.53089,-0.089782,27,true,false,false,989
64,001028,"William IV Street, Strand",51.509462,-0.124749,26,true,false,false,1028
65,000969,"Gower Place , Euston",51.525227,-0.135188,17,true,false,false,969
66,000982,"Holborn Circus, Holborn",51.51795,-0.108657,40,true,false,false,982
67,000985,"Hatton Garden, Holborn",51.518825,-0.108028,28,true,false,false,985
68,000975,"Theobald's Road , Holborn",51.520596,-0.116688,26,true,false,false,975
69,000983,"Euston Road, Euston",51.526236,-0.134407,24,true,false,false,983
70,001066,"Calshot Street , King's Cross",51.53136,-0.117069,24,true,false,false,1066
71,001074,"Newgate Street , St. Paul's",51.515768,-0.099894,35,true,false,false,1074
72,003432,"Farringdon Lane, Clerkenwell",51.52352,-0.10834,16,true,false,false,3432
73,001064,"Old Street Station, St. Luke's",51.525615,-0.088532,34,true,false,false,1064
74,001000,"Vauxhall Cross, Vauxhall",51.485917,-0.124469,17,true,false,false,1000
75,001060,"Torrens Street, Angel",51.532199,-0.10548,19,true,false,false,1060
76,000976,"Longford Street, The Regent's Park",51.525595,-0.144083,21,true,false,false,976
77,000978,"Russell Square Station, Bloomsbury",51.523418,-0.124121,26,true,false,false,978
78,003433,"Sadlers Sports Centre, Finsbury",51.524868,-0.099489,17,true,false,false,3433
79,003455,"Arundel Street, Temple",51.511726,-0.113855,18,true,false,false,3455
80,003448,"Webber Street , Southwark",51.500693,-0.102091,45,true,false,false,3448
81,003450,"Great Titchfield Street, Fitzrovia",51.520253,-0.141327,19,true,false,false,3450
83,003452,"Panton Street, West End",51.509639,-0.13151,21,true,false,false,3452
84,003449,"Breams Buildings, Holborn",51.515937,-0.111778,25,true,false,false,3449
85,000994,"Tanner Street, Bermondsey",51.500647,-0.0786,41,true,false,false,994
86,003434,"Sancroft Street, Vauxhall",51.489479,-0.115156,24,true,false,false,3434
87,003438,"Devonshire Square, Liverpool Street",51.516468,-0.079684,16,true,false,false,3438
88,001006,"Percy Street, Bloomsbury",51.51863,-0.132676,29,true,false,false,1006
89,003439,"Tavistock Place, Bloomsbury",51.52625,-0.123509,19,true,false,false,3439
90,001038,"Harrington Square 1, Camden Town",51.533019,-0.139174,27,true,false,false,1038
91,001076,"Walnut Tree Walk, Vauxhall",51.493686,-0.111014,20,true,false,false,1076
92,001082,"Borough Road, Elephant & Castle",51.498898,-0.10044,41,true,false,false,1082
93,002586,"Cloudesley Road, Angel",51.534408,-0.109025,37,true,false,false,2586
94,001070,"Bricklayers Arms, Borough",51.495061,-0.085814,28,true,false,false,1070
95,001065,"Aldersgate Street, Barbican",51.520841,-0.09734,15,true,false,false,1065
96,001047,"Falkirk Street, Hoxton",51.53095,-0.078505,26,true,false,false,1047
97,003447,"Gloucester Road (North), Kensington",51.497924,-0.183834,18,true,false,false,3447
98,000972,"Hampstead Road, Euston",51.525542,-0.138231,54,true,false,false,972
101,000999,"Queen Street 1, Bank",51.511553,-0.09294,22,true,false,false,999
102,001045,"Jewry Street, Aldgate",51.513406,-0.076793,17,true,false,false,1045
103,003441,"Vicarage Gate, Kensington",51.504723,-0.192538,18,true,false,false,3441
104,000991,"Crosswall, Tower",51.511594,-0.077121,34,true,false,false,991
105,001041,"Westbourne Grove, Bayswater",51.515529,-0.19024,26,true,false,false,1041
106,001042,"Woodstock Street, Mayfair",51.514105,-0.147301,21,true,false,false,1042
107,001049,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,20,true,false,false,1049
109,001052,"Soho Square , Soho",51.515631,-0.132328,57,true,false,false,1052
110,001055,"Wellington Road, St. John's Wood",51.533043,-0.172528,17,true,false,false,1055
111,001037,"Park Lane , Hyde Park",51.510017,-0.157275,28,true,false,false,1037
112,001061,"Stonecutter Street, Holborn",51.515809,-0.10527,21,true,false,false,1061
113,003435,"Gloucester Road (Central), South Kensington",51.496462,-0.183289,19,true,false,false,3435
114,001050,"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,22,true,false,false,1050
115,001062,"Braham Street, Aldgate",51.514233,-0.073537,34,true,false,false,1062
116,000995,"Little Argyll Street, West End",51.514499,-0.141423,21,true,false,false,995
117,000998,"Lollard Street, Vauxhall",51.49288,-0.114934,25,true,false,false,998
118,003457,"Rochester Row, Westminster",51.495827,-0.135478,13,true,false,false,3457
119,000964,"Bath Street, St. Luke's",51.525893,-0.090847,18,true,false,false,964
120,001044,"The Guildhall, Guildhall",51.515735,-0.09308,17,true,false,false,1044
121,001086,"Baker Street, Marylebone",51.518913,-0.156166,22,true,false,false,1086
123,000992,"St. John Street, Finsbury",51.52836,-0.104724,18,true,false,false,992
124,001069,"Eaton Square, Belgravia",51.496544,-0.150905,18,true,false,false,1069
125,000996,"Borough High Street, The Borough",51.500694,-0.094524,21,true,false,false,996
126,001043,"Museum of London, Barbican",51.517821,-0.096496,52,true,false,false,1043
127,001063,"Wood Street, Guildhall",51.517008,-0.093885,17,true,false,false,1063
128,001116,"Emperor's Gate, South Kensington",51.495362,-0.185296,22,true,false,false,1116
129,003451,"Golden Square, Soho",51.511897,-0.137043,18,true,false,false,3451
130,001071,"Tower Gardens , Tower",51.509506,-0.075459,24,true,false,false,1071
131,001005,"Eversholt Street , Camden Town",51.533005,-0.136792,16,true,false,false,1005
